time,theta,theta_dot,tau
63.68,0.014820814069047776,0.0638597734407236,-0.45241352623300884
63.7,0.015970656197317204,0.05094867304004792,-0.4755282581475771
63.72,0.016857697177979154,0.03766300908709423,-0.4911436253643398
63.74,0.017476844872547897,0.024158804942963498,-0.4990133642141362
63.76,0.017824918331495722,0.010644644030677934,-0.4990133642141369
63.78,0.017903119169416313,-0.0027040256943859503,-0.4911436253643471
63.800000000000004,0.01771707330999352,-0.015746469655632415,-0.4755282581475715
63.82,0.017275515082520777,-0.028425089198851367,-0.45241352623301323
63.84,0.016587708370178922,-0.040367070479432124,-0.4221639627510102
63.86,0.01566961234012873,-0.05116853335151941,-0.38525662138789574
63.88,0.014545254454298912,-0.060809936808099575,-0.3422735529643433
63.9,0.01323955568541317,-0.06953687517569479,-0.29389262614625583
63.92,0.011774770936745357,-0.07680777700975513,-0.2408768370508508
63.940000000000005,0.010181144371346767,-0.08233773585485857,-0.18406227634232875
63.96,0.008486581635134261,-0.08687844636202693,-0.12434494358244118
63.980000000000004,0.006715598027954453,-0.0901160273854474,-0.06266661678213487
64.0,0.0049000567294598205,-0.0913397569718488,-7.83773951454306e-15
64.02,0.00307504220934651,-0.0907405544076642,-7.83773951454306e-15
64.04,0.0012751852856272188,-0.08861272055960379,0.124344943582426
64.06,-0.00046696928339535484,-0.0852407049776677,0.1840622763423406
64.08,-0.002129590175003645,-0.08056419851091554,0.24087683705083707
64.1,-0.003688111866723752,-0.07498945013040545,0.24087683705083707
64.12,-0.005120385368697599,-0.06841381959733943,0.3422735529643526
64.14,-0.006407085566580696,-0.0601741288165174,0.38525662138788574
64.16,-0.007518188201117047,-0.05069061337148312,0.38525662138788574
64.18,-0.008431984105836007,-0.0405414085252698,0.45241352623301867
64.2,-0.009134506549059934,-0.029769358518728188,0.47552825814757543
64.22,-0.009614942498098439,-0.018217616392992148,0.49114362536434414
64.24,-0.009861265849625177,-0.006368483661808987,0.49114362536434414
64.26,-0.009869589317074311,0.00551554839068048,0.49901336421413545
64.28,-0.009641260927510319,0.01724230548882512,0.49114362536434275
64.3,-0.009181952560423753,0.028689435473781236,0.475528258147582
64.32000000000001,-0.008499236572696682,0.039595519970776316,0.45241352623300346
64.34,-0.007605697185190445,0.049552040028189775,0.4221639627510131
64.36,-0.006521508011081161,0.05848063473236559,0.3852566213878992
64.38,-0.005268883912513582,0.06658044057352862,0.3852566213878992
64.4,-0.003867910112637763,0.07339314358633689,0.2938926261462372
64.42,-0.002346250537238426,0.07859141265318895,0.24087683705085552
64.44,-0.0007298362179792039,0.08279493232034157,0.1840622763423602
64.46000000000001,0.0009591247789078924,0.08569396931094272,0.12434494358241886
64.48,0.0026815198671484375,0.08629354846507972,0.06266661678214022
64.5,0.0043979220218654325,0.0851012121877691,1.322804237270118e-14
64.52,0.006081540964474163,0.08312552589521813,1.322804237270118e-14
64.54,0.007716372967894038,0.08024967236310969,-0.1243449435824483
64.56,0.009275712329091768,0.07541039528652453,-0.1840622763423356
64.58,0.010721967270067433,0.06863430995333113,-0.24087683705085725
64.6,0.012015769354925375,0.06040795144093439,-0.24087683705085725
64.62,0.013136848764382139,0.05140220348337679,-0.3422735529643487
64.64,0.014071127973228778,0.042157343671019726,-0.3852566213878823
64.66,0.014808248702549808,0.031398578297001996,-0.3852566213878823
64.68,0.01532086111596279,0.019695824234638788,-0.4524135262330164
64.7,0.015596377592112316,0.00790546621356206,-0.47552825814757377
64.72,0.01563045858222725,-0.004538733071079279,-0.49114362536434314
64.74,0.015411959896027437,-0.01732307822861401,-0.49114362536434314
64.76,0.01493806855731168,-0.0300368865100158,-0.4990133642141358
64.78,0.014212089488528137,-0.04254528708049342,-0.49114362536434375
64.8,0.013241355592516178,-0.054642993695259975,-0.47552825814758365
64.82000000000001,0.01203796043662416,-0.0659002528575614,-0.45241352623300574
64.84,0.010618188668698797,-0.0760542722926085,-0.42216396275100077
64.86,0.009002465632149605,-0.08502828487879946,-0.3852566213879026
64.88,0.007215357365952176,-0.0929315486476869,-0.3852566213879026
64.9,0.005282875120897449,-0.10009006636420442,-0.2938926261462186
64.92,0.003218209214492654,-0.10639323186645072,-0.24087683705086024
64.94,0.001046769639718421,-0.11086511041538717,-0.1840622763423652
64.96000000000001,-0.0011970160274511433,-0.11309974261051678,-0.1243449435824241
64.98,-0.0034716537634334153,-0.11337903578843679,-0.06266661678214556
65.0,-0.005735275254645501,-0.1126014918299101,-1.8618345230859297e-14
65.02,-0.00796987305803007,-0.11059563362060794,-1.8618345230859297e-14
65.04,-0.010139018978651344,-0.10636346237916633,0.12434494358244308
65.06,-0.012205367526660252,-0.09994233735951835,0.18406227634233058
